psi	Mdot	M	Rd	n_big
0.01	3e-09	0.05	20	5
0.01	3e-09	0.05	50	6
0.01	3e-09	0.05	100	3
0.01	3e-09	0.05	150	0
0.01	3e-09	0.05	200	0
0.01	3e-09	0.075	20	5
0.01	3e-09	0.075	50	9
0.01	3e-09	0.075	100	7
0.01	3e-09	0.075	150	4
0.01	3e-09	0.075	200	2
0.01	3e-09	0.1	20	5
0.01	3e-09	0.1	50	8
0.01	3e-09	0.1	100	9
0.01	3e-09	0.1	150	7
0.01	3e-09	0.1	200	6
0.01	3e-09	0.125	20	6
0.01	3e-09	0.125	50	7
0.01	3e-09	0.125	100	9
0.01	3e-09	0.125	150	8
0.01	3e-09	0.125	200	7
0.01	3e-09	0.15	20	6
0.01	3e-09	0.15	50	7
0.01	3e-09	0.15	100	10
0.01	3e-09	0.15	150	9
0.01	3e-09	0.15	200	8
0.01	1e-08	0.05	20	0
0.01	1e-08	0.05	50	0
0.01	1e-08	0.05	100	0
0.01	1e-08	0.05	150	0
0.01	1e-08	0.05	200	0
0.01	1e-08	0.075	20	3
0.01	1e-08	0.075	50	0
0.01	1e-08	0.075	100	0
0.01	1e-08	0.075	150	0
0.01	1e-08	0.075	200	0
0.01	1e-08	0.1	20	4
0.01	1e-08	0.1	100	0
0.01	1e-08	0.1	150	0
0.01	1e-08	0.1	200	0
0.01	1e-08	0.125	20	5
0.01	1e-08	0.125	50	8
0.01	1e-08	0.125	100	3
0.01	1e-08	0.125	150	0
0.01	1e-08	0.125	200	0
0.01	1e-08	0.15	20	5
0.01	1e-08	0.15	50	7
0.01	1e-08	0.15	100	4
0.01	1e-08	0.15	150	2
0.01	1e-08	0.15	200	0
0.01	3e-08	0.05	20	0
0.01	3e-08	0.05	50	0
0.01	3e-08	0.05	100	0
0.01	3e-08	0.075	20	0
0.01	3e-08	0.075	50	0
0.01	3e-08	0.075	100	0
0.01	3e-08	0.075	150	0
0.01	3e-08	0.075	200	0
0.01	3e-08	0.1	20	0
0.01	3e-08	0.1	50	0
0.01	3e-08	0.1	100	0
0.01	3e-08	0.1	150	0
0.01	3e-08	0.1	200	0
0.01	3e-08	0.125	20	0
0.01	3e-08	0.125	50	0
0.01	3e-08	0.125	100	0
0.01	3e-08	0.125	150	0
0.01	3e-08	0.125	200	0
0.01	3e-08	0.15	20	0
0.01	3e-08	0.15	50	0
0.01	3e-08	0.15	100	0
0.01	3e-08	0.15	150	0
0.01	3e-08	0.15	200	0
0.01	1e-07	0.05	20	0
0.01	1e-07	0.075	20	0
0.01	1e-07	0.1	20	0
0.01	1e-07	0.1	50	0
0.01	1e-07	0.125	20	0
0.01	1e-07	0.125	50	0
0.01	1e-07	0.15	20	0
0.01	1e-07	0.15	50	0
10	3e-09	0.05	20	7
10	3e-09	0.05	50	5
10	3e-09	0.05	150	1
10	3e-09	0.05	200	0
10	3e-09	0.075	20	9
10	3e-09	0.075	50	9
10	3e-09	0.075	100	5
10	3e-09	0.075	150	4
10	3e-09	0.075	200	3
10	3e-09	0.1	20	10
10	3e-09	0.1	50	9
10	3e-09	0.1	100	6
10	3e-09	0.1	150	5
10	3e-09	0.1	200	4
10	3e-09	0.125	50	9
10	3e-09	0.125	100	9
10	3e-09	0.125	150	5
10	3e-09	0.125	200	5
10	3e-09	0.15	50	10
10	3e-09	0.15	100	9
10	3e-09	0.15	150	6
10	3e-09	0.15	200	5
10	1e-08	0.05	20	0
10	1e-08	0.05	50	0
10	1e-08	0.05	100	0
10	1e-08	0.05	150	0
10	1e-08	0.05	200	0
10	1e-08	0.075	20	3
10	1e-08	0.075	50	0
10	1e-08	0.075	100	0
10	1e-08	0.075	150	0
10	1e-08	0.075	200	0
10	1e-08	0.1	20	7
10	1e-08	0.1	50	2
10	1e-08	0.1	100	0
10	1e-08	0.1	150	0
10	1e-08	0.1	200	0
10	1e-08	0.125	20	8
10	1e-08	0.125	50	4
10	1e-08	0.125	100	0
10	1e-08	0.125	150	0
10	1e-08	0.125	200	0
10	1e-08	0.15	20	8
10	1e-08	0.15	50	4
10	1e-08	0.15	100	2
10	1e-08	0.15	150	0
10	1e-08	0.15	200	0
10	3e-08	0.05	20	0
10	3e-08	0.05	50	0
10	3e-08	0.05	100	0
10	3e-08	0.05	150	0
10	3e-08	0.05	200	0
10	3e-08	0.075	20	0
10	3e-08	0.075	50	0
10	3e-08	0.075	100	0
10	3e-08	0.075	150	0
10	3e-08	0.075	200	0
10	3e-08	0.1	20	0
10	3e-08	0.1	50	0
10	3e-08	0.1	100	0
10	3e-08	0.1	150	0
10	3e-08	0.1	200	0
10	3e-08	0.125	20	0
10	3e-08	0.125	50	0
10	3e-08	0.125	100	0
10	3e-08	0.125	150	0
10	3e-08	0.125	200	0
10	3e-08	0.15	20	0
10	3e-08	0.15	50	0
10	3e-08	0.15	100	0
10	3e-08	0.15	150	0
10	3e-08	0.15	200	0
10	1e-07	0.05	20	0
10	1e-07	0.05	50	0
10	1e-07	0.05	100	0
10	1e-07	0.05	150	0
10	1e-07	0.05	200	0
10	1e-07	0.075	20	0
10	1e-07	0.075	50	0
10	1e-07	0.075	100	0
10	1e-07	0.075	150	0
10	1e-07	0.075	200	0
10	1e-07	0.1	20	0
10	1e-07	0.1	50	0
10	1e-07	0.1	100	0
10	1e-07	0.1	150	0
10	1e-07	0.1	200	0
10	1e-07	0.125	20	1
10	1e-07	0.125	50	1
10	1e-07	0.125	100	0
10	1e-07	0.125	150	0
10	1e-07	0.125	200	0
10	1e-07	0.15	20	0
10	1e-07	0.15	50	4
10	1e-07	0.15	100	0
10	1e-07	0.15	150	0
10	1e-07	0.15	200	0
10	3e-07	0.05	20	0
10	3e-07	0.05	50	0
10	3e-07	0.075	20	0
10	3e-07	0.075	50	0
10	3e-07	0.1	20	0
10	3e-07	0.1	50	0
10	3e-07	0.1	100	0
10	3e-07	0.125	20	0
10	3e-07	0.125	50	0
10	3e-07	0.125	100	0
10	3e-07	0.125	150	0
10	3e-07	0.15	20	0
10	3e-07	0.15	50	0
10	3e-07	0.15	100	0
10	3e-07	0.15	150	0
10	1e-06	0.1	20	0
10	1e-06	0.125	20	0
10	1e-06	0.15	20	0
