psi	Mdot	M	Rd	n_big
0.01	1e-10	0.01	10	0
0.01	1e-10	0.01	20	0
0.01	1e-10	0.01	50	0
0.01	1e-10	0.01	150	0
0.01	1e-10	0.01	200	0
0.01	1e-10	0.05	20	0
0.01	1e-10	0.05	50	0
0.01	1e-10	0.05	150	0
0.01	1e-10	0.05	200	0
0.01	1e-10	0.1	10	0
0.01	1e-10	0.1	20	0
0.01	1e-10	0.1	50	0
0.01	1e-10	0.1	150	0
0.01	1e-10	0.1	200	0
0.01	1e-10	0.125	10	0
0.01	1e-10	0.125	20	0
0.01	1e-10	0.125	50	0
0.01	1e-10	0.125	150	0
0.01	1e-10	0.125	200	0
0.01	1e-10	0.15	10	0
0.01	1e-10	0.15	20	0
0.01	1e-10	0.15	50	0
0.01	1e-10	0.15	100	0
0.01	1e-10	0.15	150	0
0.01	1e-10	0.15	200	0
0.01	3e-10	0.01	10	0
0.01	3e-10	0.01	20	0
0.01	3e-10	0.01	50	0
0.01	3e-10	0.01	150	0
0.01	3e-10	0.01	200	0
0.01	3e-10	0.05	10	0
0.01	3e-10	0.05	20	0
0.01	3e-10	0.05	50	0
0.01	3e-10	0.05	100	1
0.01	3e-10	0.05	150	0
0.01	3e-10	0.05	200	0
0.01	3e-10	0.1	10	0
0.01	3e-10	0.1	20	0
0.01	3e-10	0.1	50	0
0.01	3e-10	0.1	150	0
0.01	3e-10	0.1	200	1
0.01	3e-10	0.125	10	0
0.01	3e-10	0.125	20	0
0.01	3e-10	0.125	50	0
0.01	3e-10	0.125	150	0
0.01	3e-10	0.125	200	1
0.01	3e-10	0.15	20	0
0.01	3e-10	0.15	50	0
0.01	3e-10	0.15	150	0
0.01	3e-10	0.15	200	0
0.01	1e-09	0.01	10	0
0.01	1e-09	0.01	20	0
0.01	1e-09	0.01	50	0
0.01	1e-09	0.01	150	0
0.01	1e-09	0.01	200	0
0.01	1e-09	0.05	10	1
0.01	1e-09	0.05	20	2
0.01	1e-09	0.05	50	6
0.01	1e-09	0.05	150	5
0.01	1e-09	0.05	200	4
0.01	1e-09	0.1	10	3
0.01	1e-09	0.1	20	5
0.01	1e-09	0.1	50	6
0.01	1e-09	0.1	100	7
0.01	1e-09	0.1	150	7
0.01	1e-09	0.1	200	7
0.01	1e-09	0.125	20	5
0.01	1e-09	0.125	50	6
0.01	1e-09	0.125	100	7
0.01	1e-09	0.125	150	7
0.01	1e-09	0.125	200	8
0.01	1e-09	0.15	10	5
0.01	1e-09	0.15	20	5
0.01	1e-09	0.15	50	7
0.01	1e-09	0.15	100	7
0.01	1e-09	0.15	150	9
0.01	1e-09	0.15	200	8
0.01	3e-09	0.01	10	0
0.01	3e-09	0.01	20	0
0.01	3e-09	0.01	50	0
100	1e-10	0.01	20	0
100	1e-10	0.01	50	0
100	1e-10	0.01	150	0
100	1e-10	0.01	200	0
100	1e-10	0.05	20	0
100	1e-10	0.05	50	0
100	1e-10	0.05	150	0
100	1e-10	0.05	200	0
100	1e-10	0.1	20	0
100	1e-10	0.1	50	0
100	1e-10	0.1	150	0
100	1e-10	0.1	200	0
100	1e-10	0.125	20	0
100	1e-10	0.125	100	0
100	1e-10	0.125	150	0
100	1e-10	0.125	200	0
100	1e-10	0.15	150	0
100	1e-09	0.05	20	7
100	1e-09	0.05	50	9
100	1e-09	0.05	200	3
100	1e-09	0.1	20	7
